id,n,m,beta,bqm_is_normalized,space_type,annealing_type,beta_schedule_type,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,seed_used
1,25,146,1e-09,True,linear,default,custom,27.532687651333678,False,,924,,5.455,123
2,25,146,1e-08,True,linear,default,custom,27.532687651333678,False,,924,,5.334,123
3,25,146,1e-07,True,linear,default,custom,27.86077481840386,False,,924,,5.356,999
4,25,146,1e-06,True,linear,default,custom,27.86077481840386,False,,924,,5.358,999
5,25,146,1e-05,True,linear,default,custom,27.86077481840386,False,,924,,5.35,999
6,25,146,0.0001,True,linear,default,custom,25.558111380147178,False,,924,,5.357,123
7,25,146,0.001,True,linear,default,custom,26.778450363198118,False,,924,,5.385,999
8,25,146,0.01,True,linear,default,custom,28.292978208234388,False,,924,,5.41,789
9,25,146,0.1,True,linear,default,custom,27.503631961261032,False,,924,,5.494,42
10,25,146,1.0,True,linear,default,custom,20.571428571430463,False,,924,,7.591,42
11,25,146,10.0,True,linear,default,custom,17.49031476997814,False,,924,,38.711,999
12,25,146,1e-09,True,geometric,default,custom,27.532687651333678,False,,924,,5.324,123
13,25,146,1e-08,True,geometric,default,custom,27.532687651333678,False,,924,,5.342,123
14,25,146,1e-07,True,geometric,default,custom,27.86077481840386,False,,924,,5.411,999
15,25,146,1e-06,True,geometric,default,custom,27.86077481840386,False,,924,,5.381,999
16,25,146,1e-05,True,geometric,default,custom,27.86077481840386,False,,924,,5.374,999
17,25,146,0.0001,True,geometric,default,custom,25.558111380147178,False,,924,,5.452,123
18,25,146,0.001,True,geometric,default,custom,26.778450363198118,False,,924,,5.397,999
19,25,146,0.01,True,geometric,default,custom,28.292978208234388,False,,924,,5.411,789
20,25,146,0.1,True,geometric,default,custom,27.503631961261032,False,,924,,5.468,42
21,25,146,1.0,True,geometric,default,custom,20.571428571430463,False,,924,,7.578,42
22,25,146,10.0,True,geometric,default,custom,17.49031476997814,False,,924,,38.885,999
23,25,146,-9.0,True,logspace,default,custom,27.532687651333678,False,,924,,5.342,123
24,25,146,-8.0,True,logspace,default,custom,27.532687651333678,False,,924,,5.338,123
25,25,146,-7.0,True,logspace,default,custom,27.86077481840386,False,,924,,5.368,999
26,25,146,-6.0,True,logspace,default,custom,27.86077481840386,False,,924,,5.368,999
27,25,146,-5.0,True,logspace,default,custom,27.86077481840386,False,,924,,5.353,999
28,25,146,-4.0,True,logspace,default,custom,25.558111380147178,False,,924,,5.353,123
29,25,146,-3.0,True,logspace,default,custom,26.778450363198118,False,,924,,5.355,999
30,25,146,-2.0,True,logspace,default,custom,28.292978208234388,False,,924,,5.362,789
31,25,146,-1.0,True,logspace,default,custom,27.503631961261032,False,,924,,5.482,42
32,25,146,0.0,True,logspace,default,custom,20.571428571430463,False,,924,,7.564,42
33,25,146,1.0,True,logspace,default,custom,17.49031476997814,False,,924,,38.489,999
34,25,146,1e-09,True,linear,fixed_Hp,custom,27.532687651333678,False,,924,,5.343,123
35,25,146,1e-08,True,linear,fixed_Hp,custom,27.532687651333678,False,,924,,5.347,123
36,25,146,1e-07,True,linear,fixed_Hp,custom,27.86077481840386,False,,924,,5.358,999
37,25,146,1e-06,True,linear,fixed_Hp,custom,27.86077481840386,False,,924,,5.365,999
38,25,146,1e-05,True,linear,fixed_Hp,custom,27.86077481840386,False,,924,,5.384,999
39,25,146,0.0001,True,linear,fixed_Hp,custom,25.558111380147178,False,,924,,5.436,123
40,25,146,0.001,True,linear,fixed_Hp,custom,26.778450363198118,False,,924,,5.39,999
41,25,146,0.01,True,linear,fixed_Hp,custom,28.292978208234388,False,,924,,5.386,789
42,25,146,0.1,True,linear,fixed_Hp,custom,27.503631961261032,False,,924,,5.473,42
43,25,146,1.0,True,linear,fixed_Hp,custom,20.571428571430463,False,,924,,7.602,42
44,25,146,10.0,True,linear,fixed_Hp,custom,17.49031476997814,False,,924,,52.428,999
45,25,146,1e-09,True,geometric,fixed_Hp,custom,27.532687651333678,False,,924,,5.357,123
46,25,146,1e-08,True,geometric,fixed_Hp,custom,27.532687651333678,False,,924,,5.351,123
47,25,146,1e-07,True,geometric,fixed_Hp,custom,27.86077481840386,False,,924,,5.362,999
48,25,146,1e-06,True,geometric,fixed_Hp,custom,27.86077481840386,False,,924,,5.381,999
49,25,146,1e-05,True,geometric,fixed_Hp,custom,27.86077481840386,False,,924,,5.353,999
50,25,146,0.0001,True,geometric,fixed_Hp,custom,25.558111380147178,False,,924,,5.37,123
51,25,146,0.001,True,geometric,fixed_Hp,custom,26.778450363198118,False,,924,,5.363,999
52,25,146,0.01,True,geometric,fixed_Hp,custom,28.292978208234388,False,,924,,5.516,789
53,25,146,0.1,True,geometric,fixed_Hp,custom,27.503631961261032,False,,924,,5.513,42
54,25,146,1.0,True,geometric,fixed_Hp,custom,20.571428571430463,False,,924,,7.577,42
55,25,146,10.0,True,geometric,fixed_Hp,custom,17.49031476997814,False,,924,,52.062,999
56,25,146,-9.0,True,logspace,fixed_Hp,custom,27.532687651333678,False,,924,,5.354,123
57,25,146,-8.0,True,logspace,fixed_Hp,custom,27.532687651333678,False,,924,,5.337,123
58,25,146,-7.0,True,logspace,fixed_Hp,custom,27.86077481840386,False,,924,,5.364,999
59,25,146,-6.0,True,logspace,fixed_Hp,custom,27.86077481840386,False,,924,,5.374,999
60,25,146,-5.0,True,logspace,fixed_Hp,custom,27.86077481840386,False,,924,,5.4,999
61,25,146,-4.0,True,logspace,fixed_Hp,custom,25.558111380147178,False,,924,,5.412,123
62,25,146,-3.0,True,logspace,fixed_Hp,custom,26.778450363198118,False,,924,,5.4,999
63,25,146,-2.0,True,logspace,fixed_Hp,custom,28.292978208234388,False,,924,,5.398,789
64,25,146,-1.0,True,logspace,fixed_Hp,custom,27.503631961261032,False,,924,,5.636,42
65,25,146,0.0,True,logspace,fixed_Hp,custom,20.571428571430463,False,,924,,7.63,42
66,25,146,1.0,True,logspace,fixed_Hp,custom,17.49031476997814,False,,924,,89.956,999
67,25,146,1e-09,False,linear,default,custom,22742.0,False,,924,,13.333,123
68,25,146,1e-08,False,linear,default,custom,22742.0,False,,924,,13.067,123
69,25,146,1e-07,False,linear,default,custom,23013.0,False,,924,,12.807,999
70,25,146,1e-06,False,linear,default,custom,23013.0,False,,924,,12.979,999
71,25,146,1e-05,False,linear,default,custom,23013.0,False,,924,,14.086,999
72,25,146,0.0001,False,linear,default,custom,20567.0,False,,924,,13.727,123
73,25,146,0.001,False,linear,default,custom,15948.0,False,,924,,12.667,42
74,25,146,0.01,False,linear,default,custom,4967.0,False,,924,,12.385,456
75,25,146,0.1,False,linear,default,custom,1848.0,False,,924,,14.061,42
76,25,146,1.0,False,linear,default,custom,1096.0,False,,924,,14.043,42
77,25,146,10.0,False,linear,default,custom,1026.0,False,,924,,18.256,456
78,25,146,1e-09,False,geometric,default,custom,22742.0,False,,924,,6.719,123
79,25,146,1e-08,False,geometric,default,custom,22742.0,False,,924,,6.711,123
80,25,146,1e-07,False,geometric,default,custom,23013.0,False,,924,,6.714,999
81,25,146,1e-06,False,geometric,default,custom,23013.0,False,,924,,6.755,999
82,25,146,1e-05,False,geometric,default,custom,23013.0,False,,924,,6.623,999
83,25,146,0.0001,False,geometric,default,custom,20567.0,False,,924,,6.664,123
84,25,146,0.001,False,geometric,default,custom,15948.0,False,,924,,6.662,42
85,25,146,0.01,False,geometric,default,custom,4967.0,False,,924,,6.68,456
86,25,146,0.1,False,geometric,default,custom,1848.0,False,,924,,7.08,42
87,25,146,1.0,False,geometric,default,custom,1096.0,False,,924,,7.652,42
88,25,146,10.0,False,geometric,default,custom,1026.0,False,,924,,18.493,456
89,25,146,-9.0,False,logspace,default,custom,22742.0,False,,924,,6.757,123
90,25,146,-8.0,False,logspace,default,custom,22742.0,False,,924,,6.764,123
91,25,146,-7.0,False,logspace,default,custom,23013.0,False,,924,,6.809,999
92,25,146,-6.0,False,logspace,default,custom,23013.0,False,,924,,6.754,999
93,25,146,-5.0,False,logspace,default,custom,23013.0,False,,924,,6.724,999
94,25,146,-4.0,False,logspace,default,custom,20567.0,False,,924,,6.722,123
95,25,146,-3.0,False,logspace,default,custom,15948.0,False,,924,,6.73,42
96,25,146,-2.0,False,logspace,default,custom,4967.0,False,,924,,6.779,456
97,25,146,-1.0,False,logspace,default,custom,1848.0,False,,924,,6.942,42
98,25,146,0.0,False,logspace,default,custom,1096.0,False,,924,,7.572,42
99,25,146,1.0,False,logspace,default,custom,1026.0,False,,924,,18.43,456
100,25,146,1e-09,False,linear,fixed_Hp,custom,22742.0,False,,924,,6.744,123
101,25,146,1e-08,False,linear,fixed_Hp,custom,22742.0,False,,924,,6.807,123
102,25,146,1e-07,False,linear,fixed_Hp,custom,23013.0,False,,924,,6.763,999
103,25,146,1e-06,False,linear,fixed_Hp,custom,23013.0,False,,924,,6.759,999
104,25,146,1e-05,False,linear,fixed_Hp,custom,23013.0,False,,924,,7.135,999
105,25,146,0.0001,False,linear,fixed_Hp,custom,20567.0,False,,924,,6.752,123
106,25,146,0.001,False,linear,fixed_Hp,custom,15948.0,False,,924,,6.811,42
107,25,146,0.01,False,linear,fixed_Hp,custom,4967.0,False,,924,,6.848,456
108,25,146,0.1,False,linear,fixed_Hp,custom,1848.0,False,,924,,7.031,42
109,25,146,1.0,False,linear,fixed_Hp,custom,1096.0,False,,924,,8.359,42
110,25,146,10.0,False,linear,fixed_Hp,custom,1026.0,False,,924,,18.495,456
111,25,146,1e-09,False,geometric,fixed_Hp,custom,22742.0,False,,924,,6.652,123
112,25,146,1e-08,False,geometric,fixed_Hp,custom,22742.0,False,,924,,6.701,123
113,25,146,1e-07,False,geometric,fixed_Hp,custom,23013.0,False,,924,,6.746,999
114,25,146,1e-06,False,geometric,fixed_Hp,custom,23013.0,False,,924,,6.807,999
115,25,146,1e-05,False,geometric,fixed_Hp,custom,23013.0,False,,924,,6.771,999
116,25,146,0.0001,False,geometric,fixed_Hp,custom,20567.0,False,,924,,6.709,123
117,25,146,0.001,False,geometric,fixed_Hp,custom,15948.0,False,,924,,6.846,42
118,25,146,0.01,False,geometric,fixed_Hp,custom,4967.0,False,,924,,6.796,456
119,25,146,0.1,False,geometric,fixed_Hp,custom,1848.0,False,,924,,6.928,42
120,25,146,1.0,False,geometric,fixed_Hp,custom,1096.0,False,,924,,8.19,42
121,25,146,10.0,False,geometric,fixed_Hp,custom,1026.0,False,,924,,18.476,456
122,25,146,-9.0,False,logspace,fixed_Hp,custom,22742.0,False,,924,,6.718,123
123,25,146,-8.0,False,logspace,fixed_Hp,custom,22742.0,False,,924,,6.882,123
124,25,146,-7.0,False,logspace,fixed_Hp,custom,23013.0,False,,924,,6.727,999
125,25,146,-6.0,False,logspace,fixed_Hp,custom,23013.0,False,,924,,6.77,999
126,25,146,-5.0,False,logspace,fixed_Hp,custom,23013.0,False,,924,,7.123,999
127,25,146,-4.0,False,logspace,fixed_Hp,custom,20567.0,False,,924,,6.955,123
128,25,146,-3.0,False,logspace,fixed_Hp,custom,15948.0,False,,924,,6.345,42
129,25,146,-2.0,False,logspace,fixed_Hp,custom,4967.0,False,,924,,6.76,456
130,25,146,-1.0,False,logspace,fixed_Hp,custom,1848.0,False,,924,,6.873,42
131,25,146,0.0,False,logspace,fixed_Hp,custom,1096.0,False,,924,,7.548,42
132,25,146,1.0,False,logspace,fixed_Hp,custom,1026.0,False,,924,,18.205,456
