dataset,vertices,edges,sampler,num_reads,energy,minla_cost
ENZYMES8,88,133,PathIntegralAnnealingSampler,1000,31788.0,0
bn-mouse_visual-cortex_1,29,44,PathIntegralAnnealingSampler,1000,1079.0,0
ca-sandi_auths,86,124,PathIntegralAnnealingSampler,1000,30242.0,0
johnson8-4-4,70,1855,PathIntegralAnnealingSampler,1000,56353.0,0
random_n100_d50,100,2475,PathIntegralAnnealingSampler,1000,123689.0,0
random_n10_d50,10,22,PathIntegralAnnealingSampler,1000,65.0,0
random_n25_d50,25,150,PathIntegralAnnealingSampler,1000,1556.0,0
random_n50_d50,50,612,PathIntegralAnnealingSampler,1000,14462.0,0
random_n75_d50,75,1387,PathIntegralAnnealingSampler,1000,51345.0,0
rt-retweet,96,117,PathIntegralAnnealingSampler,1000,40244.0,0
soc-dolphins,62,159,PathIntegralAnnealingSampler,1000,11748.0,0
