graph,n,m,cost,solve_time,status,mip_gap,node_count
ENZYMES8,88,133,668.0,60.002923011779785,TIME_LIMIT,0.8008982035928144,11561
bn-mouse_visual-cortex_1,29,44,155.0,60.00197911262512,TIME_LIMIT,0.632258064516129,450768
ca-sandi_auths,86,124,461.0,60.007960081100464,TIME_LIMIT,0.7310195227765727,11784
johnson8-4-4,70,1855,42521.0,60.01775407791138,TIME_LIMIT,0.8757084734601727,8536
random_n100_d50,100,2475,77351.0,60.00779485702515,TIME_LIMIT,0.9680029993148117,5315
random_n10_d50,10,22,47.0,0.3183579444885254,OPTIMAL,0.0,3730
random_n25_d50,25,150,936.0,60.00572085380554,TIME_LIMIT,0.7927350427350427,312631
random_n50_d50,50,612,8533.0,60.008955001831055,TIME_LIMIT,0.9282784483768898,24025
random_n75_d50,75,1387,30403.0,60.00572919845581,TIME_LIMIT,0.9543795020228267,8740
rt-retweet,96,117,880.0,60.00579214096069,TIME_LIMIT,0.8670454545454546,9271
soc-dolphins,62,159,819.0,60.00852918624878,TIME_LIMIT,0.8058608058608059,20720
