graph,n,m,cost,solve_time,status,mip_gap,node_count,qubo_objective
ENZYMES8,88,133,931,60.16717791557312,TIME_LIMIT,477.83420545066923,697,931.0
bn-mouse_visual-cortex_1,29,44,152,60.016979932785034,TIME_LIMIT,10200.975071424684,3,152.0
ca-sandi_auths,86,124,1124,60.14732313156128,TIME_LIMIT,353.93951218157764,364,1124.0
johnson8-4-4,70,1855,41823,60.05286622047424,TIME_LIMIT,43.73302442529034,1429,41823.0
random_n100_d50,100,2475,72211,60.75816607475281,TIME_LIMIT,90.09832983011182,69,72211.0
random_n10_d50,10,22,47,2.7021257877349854,OPTIMAL,0.0,2204,47.0
random_n25_d50,25,150,976,60.020092248916626,TIME_LIMIT,1819.6447178441463,2029,976.0
random_n50_d50,50,612,8514,60.028554916381836,TIME_LIMIT,45.281805785769215,10525,8514.0
random_n75_d50,75,1387,29912,60.17296600341797,TIME_LIMIT,67.12414512516567,1007,29912.0
rt-retweet,96,117,1159,60.383344888687134,TIME_LIMIT,411.01268132846855,93,1159.0
soc-dolphins,62,159,1319,60.083747148513794,TIME_LIMIT,180.83864431216227,2619,1319.0
