dataset,vertices,edges,method,penalty,feasible,cost,energy,time_ms
ENZYMES8,88,133,PySA,10256,true,2415,2415.0,139990.90909957886
bn-mouse_visual-cortex_1,29,44,PySA,1000,true,576,576.0,600.0871658325195
ca-sandi_auths,86,124,PySA,9360,true,3314,3314.0,92676.41496658325
johnson8-4-4,70,1855,PySA,54515,true,48639,48639.0,48534.05690193176
random_n100_d50,100,2475,PySA,131405,true,83758,83758.0,199123.113155365
random_n10_d50,10,22,PySA,122,true,79,79.0,61.53607368469238
random_n25_d50,25,150,PySA,2016,true,1200,1200.0,150.88701248168945
random_n50_d50,50,612,PySA,16320,true,10232,10232.0,9507.251977920532
random_n75_d50,75,1387,PySA,55318,true,35235,35235.0,64027.39095687866
rt-retweet,96,117,PySA,10037,true,3633,3633.0,231734.79294776917
soc-dolphins,62,159,PySA,7965,true,3145,3145.0,35687.435150146484
