solver_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,num_feasible,num_success,total_time
OpenJij,5,21,0.5,exact,1.0,0.5238095238095238,0.5238095238095238,0.13671289028431885,21,11,78.92342519760132
QWaveSampler,5,21,0.5,exact,1.0,1.0,1.0,0.0,21,21,16.04744243621826
SimulatedBifurcation,5,21,0.5,exact,1.0,1.0,1.0,0.0,21,21,10.521941900253296
OpenJij,5,21,0.5,lucas,1.0,0.9047619047619048,0.9047619047619048,0.00816326530612245,21,19,12.361963272094727
QWaveSampler,5,21,0.5,lucas,1.0,1.0,1.0,0.0,21,21,16.89415407180786
SimulatedBifurcation,5,21,0.5,lucas,1.0,1.0,1.0,0.0,21,21,11.051992416381836
OpenJij,8,50,0.5,exact,0.16,0.0,0.0,0.38732322068388414,8,0,54.8608238697052
QWaveSampler,8,50,0.5,exact,1.0,0.44,0.22,0.07518738873066691,50,22,141.54774379730225
SimulatedBifurcation,8,50,0.5,exact,1.0,0.38,0.16,0.08314326098886995,50,19,54.060471057891846
OpenJij,8,50,0.5,lucas,0.96,0.84,0.75,-0.009303468670327596,48,42,47.69896936416626
QWaveSampler,8,50,0.5,lucas,1.0,1.0,1.0,-0.026691110800128398,50,50,140.74187469482422
SimulatedBifurcation,8,50,0.5,lucas,1.0,0.96,0.86,-0.01839789566317066,50,48,71.86644577980042
OpenJij,11,50,0.5,exact,0.0,0.0,0.0,inf,0,0,158.92210865020752
QWaveSampler,11,50,0.5,exact,1.0,0.06,0.0,0.18028042432608976,50,3,414.1310045719147
SimulatedBifurcation,11,50,0.5,exact,1.0,0.0,0.0,0.24289413017112388,50,0,122.26166224479675
OpenJij,11,50,0.5,lucas,0.82,0.74,0.4878048780487805,0.0033056296887033405,41,37,224.79108810424805
QWaveSampler,11,50,0.5,lucas,0.96,0.96,0.7916666666666666,-0.01619353325539537,48,48,593.1772191524506
SimulatedBifurcation,11,50,0.5,lucas,0.88,0.6,0.25,0.03239270646984973,44,30,139.32491445541382
OpenJij,13,50,0.5,exact,0.0,0.0,0.0,inf,0,0,242.94261956214905
QWaveSampler,13,50,0.5,exact,1.0,0.0,0.0,0.24421117304680448,50,0,1087.0078201293945
SimulatedBifurcation,13,50,0.5,exact,0.72,0.0,0.0,0.3738845612713016,36,0,191.38592648506165
OpenJij,13,50,0.5,lucas,0.66,0.56,0.3939393939393939,0.009803160123201845,33,28,243.63558220863342
QWaveSampler,13,50,0.5,lucas,0.96,0.9,0.4375,0.0017614961031113304,48,45,1067.9694402217865
SimulatedBifurcation,13,50,0.5,lucas,0.64,0.32,0.125,0.04653778922569129,32,16,190.5115451812744
OpenJij,15,50,0.5,exact,0.0,0.0,0.0,inf,0,0,239.11151719093323
QWaveSampler,15,50,0.5,exact,1.0,0.0,0.0,0.2837360791241561,50,0,1555.659742116928
SimulatedBifurcation,15,50,0.5,exact,0.04,0.0,0.0,0.5131818935499917,2,0,248.52374362945557
OpenJij,15,50,0.5,lucas,0.6,0.54,0.4,0.0012319632990533938,30,27,248.25818538665771
QWaveSampler,15,50,0.5,lucas,0.9,0.84,0.35555555555555557,0.0009305227472586798,45,42,1548.958613872528
SimulatedBifurcation,15,50,0.5,lucas,0.32,0.22,0.1875,0.03779304643153067,16,11,245.17081999778748
