solver_name,beta_schedule_type,beta_range,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_power,power,"(0.000000, 10.000000)",10,0,26,lucas,8,8,69.0,69,67,True,0.4751880168914795
QWaveSampler_power,power,"(0.000000, 10.000000)",10,1,27,lucas,9,9,80.0,80,75,True,0.47386980056762695
QWaveSampler_power,power,"(0.000000, 10.000000)",10,2,14,lucas,6,6,22.0,22,28,True,0.4701499938964844
QWaveSampler_power,power,"(0.000000, 10.000000)",10,3,20,lucas,9,9,51.0,51,50,True,0.4629518985748291
QWaveSampler_power,power,"(0.000000, 10.000000)",10,4,19,lucas,6,6,49.0,49,50,True,0.471677303314209
QWaveSampler_power,power,"(0.000000, 10.000000)",10,5,23,lucas,8,8,56.0,56,58,True,0.5004630088806152
QWaveSampler_power,power,"(0.000000, 10.000000)",10,6,23,lucas,8,8,54.0,54,57,True,0.48351168632507324
QWaveSampler_power,power,"(0.000000, 10.000000)",10,7,21,lucas,9,9,53.0,53,53,True,0.4941868782043457
QWaveSampler_power,power,"(0.000000, 10.000000)",10,8,22,lucas,8,8,49.0,49,56,True,0.5099577903747559
QWaveSampler_power,power,"(0.000000, 10.000000)",10,9,25,lucas,7,7,62.0,62,60,True,0.5104928016662598
QWaveSampler_power,power,"(0.000000, 10.000000)",10,10,21,lucas,9,9,58.0,58,52,True,0.47075819969177246
QWaveSampler_power,power,"(0.000000, 10.000000)",10,11,21,lucas,6,6,53.0,53,56,True,0.4840664863586426
QWaveSampler_power,power,"(0.000000, 10.000000)",10,12,19,lucas,7,7,46.0,46,46,True,0.47261953353881836
QWaveSampler_power,power,"(0.000000, 10.000000)",10,13,28,lucas,9,9,76.0,76,76,True,0.47862982749938965
QWaveSampler_power,power,"(0.000000, 10.000000)",10,14,22,lucas,7,7,54.0,54,54,True,0.485044002532959
QWaveSampler_power,power,"(0.000000, 10.000000)",10,15,25,lucas,7,7,71.0,71,72,True,0.47301626205444336
QWaveSampler_power,power,"(0.000000, 10.000000)",10,16,23,lucas,7,7,59.0,59,64,True,0.5238559246063232
QWaveSampler_power,power,"(0.000000, 10.000000)",10,17,25,lucas,8,8,65.0,65,63,True,0.4781184196472168
QWaveSampler_power,power,"(0.000000, 10.000000)",10,18,20,lucas,8,8,47.0,47,43,True,0.5006897449493408
QWaveSampler_power,power,"(0.000000, 10.000000)",10,19,23,lucas,8,8,54.0,54,54,True,0.4684898853302002
QWaveSampler_power,power,"(0.000000, 10.000000)",10,20,17,lucas,7,7,38.0,38,37,True,0.45966291427612305
QWaveSampler_power,power,"(0.000000, 10.000000)",10,21,24,lucas,8,8,61.0,61,65,True,0.4693751335144043
QWaveSampler_power,power,"(0.000000, 10.000000)",10,22,23,lucas,8,8,59.0,59,58,True,0.4703941345214844
QWaveSampler_power,power,"(0.000000, 10.000000)",10,23,25,lucas,8,8,67.0,67,67,True,0.4726541042327881
QWaveSampler_power,power,"(0.000000, 10.000000)",10,24,24,lucas,8,8,61.0,61,57,True,0.46706271171569824
QWaveSampler_power,power,"(0.000000, 10.000000)",10,25,18,lucas,7,7,39.0,39,44,True,0.46357202529907227
QWaveSampler_power,power,"(0.000000, 10.000000)",10,26,21,lucas,8,8,44.0,44,43,True,0.45990562438964844
QWaveSampler_power,power,"(0.000000, 10.000000)",10,27,22,lucas,8,8,54.0,54,50,True,0.46619653701782227
QWaveSampler_power,power,"(0.000000, 10.000000)",10,28,21,lucas,7,7,50.0,50,48,True,0.45955538749694824
QWaveSampler_power,power,"(0.000000, 10.000000)",10,29,19,lucas,6,6,46.0,46,45,True,0.4884357452392578
QWaveSampler_power,power,"(0.000000, 10.000000)",10,30,27,lucas,8,8,75.0,75,81,True,0.47376298904418945
QWaveSampler_power,power,"(0.000000, 10.000000)",10,31,18,lucas,7,7,36.0,36,35,True,0.4595005512237549
QWaveSampler_power,power,"(0.000000, 10.000000)",10,32,20,lucas,6,6,47.0,47,46,True,0.4657728672027588
QWaveSampler_power,power,"(0.000000, 10.000000)",10,33,25,lucas,7,7,65.0,65,65,True,0.5047008991241455
QWaveSampler_power,power,"(0.000000, 10.000000)",10,34,21,lucas,8,8,55.0,55,56,True,0.5060627460479736
QWaveSampler_power,power,"(0.000000, 10.000000)",10,35,22,lucas,9,9,54.0,54,50,True,0.4831831455230713
QWaveSampler_power,power,"(0.000000, 10.000000)",10,36,21,lucas,7,7,53.0,53,50,True,0.47103071212768555
QWaveSampler_power,power,"(0.000000, 10.000000)",10,37,26,lucas,8,8,69.0,69,68,True,0.46417665481567383
QWaveSampler_power,power,"(0.000000, 10.000000)",10,38,21,lucas,6,6,51.0,51,50,True,0.4792943000793457
QWaveSampler_power,power,"(0.000000, 10.000000)",10,39,18,lucas,7,7,46.0,46,42,True,0.4725677967071533
QWaveSampler_power,power,"(0.000000, 10.000000)",10,40,24,lucas,8,8,61.0,61,64,True,0.4842038154602051
QWaveSampler_power,power,"(0.000000, 10.000000)",10,41,25,lucas,8,8,69.0,69,67,True,0.4849276542663574
QWaveSampler_power,power,"(0.000000, 10.000000)",10,42,21,lucas,7,7,54.0,54,58,True,0.5166778564453125
QWaveSampler_power,power,"(0.000000, 10.000000)",10,43,24,lucas,8,8,54.0,54,54,True,0.4872701168060303
QWaveSampler_power,power,"(0.000000, 10.000000)",10,44,25,lucas,10,10,66.0,66,62,True,0.4616858959197998
QWaveSampler_power,power,"(0.000000, 10.000000)",10,45,21,lucas,7,7,52.0,52,54,True,0.46616601943969727
QWaveSampler_power,power,"(0.000000, 10.000000)",10,46,27,lucas,8,8,74.0,74,74,True,0.46512365341186523
QWaveSampler_power,power,"(0.000000, 10.000000)",10,47,24,lucas,8,8,65.0,65,64,True,0.46379709243774414
QWaveSampler_power,power,"(0.000000, 10.000000)",10,48,19,lucas,7,7,42.0,42,40,True,0.4678614139556885
QWaveSampler_power,power,"(0.000000, 10.000000)",10,49,23,lucas,8,8,58.0,58,60,True,0.463731050491333
