solver_name,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,is_feasible
OpenJij,quantum_n10,10,31,exact,148,148,549.0,,False
QWaveSampler,quantum_n10,10,31,exact,148,148,94.0,94,True
SimulatedBifurcation,quantum_n10,10,31,exact,148,148,94,94,True
OpenJij,quantum_n10,10,31,lucas,10,10,90.0,90,True
QWaveSampler,quantum_n10,10,31,lucas,10,10,87.0,87,True
SimulatedBifurcation,quantum_n10,10,31,lucas,10,10,90,90,True
OpenJij,quantum_n12,12,46,exact,259,259,1742.0,,False
QWaveSampler,quantum_n12,12,46,exact,259,259,173.0,173,True
SimulatedBifurcation,quantum_n12,12,46,exact,259,259,183,183,True
OpenJij,quantum_n12,12,46,lucas,11,11,156.0,,False
QWaveSampler,quantum_n12,12,46,lucas,11,11,151.0,151,True
SimulatedBifurcation,quantum_n12,12,46,lucas,11,11,160,,False
OpenJij,quantum_n5,5,5,exact,16,16,7.0,7,True
QWaveSampler,quantum_n5,5,5,exact,16,16,7.0,7,True
SimulatedBifurcation,quantum_n5,5,5,exact,16,16,7,7,True
OpenJij,quantum_n5,5,5,lucas,4,4,7.0,7,True
QWaveSampler,quantum_n5,5,5,lucas,4,4,7.0,7,True
SimulatedBifurcation,quantum_n5,5,5,lucas,4,4,7,7,True
OpenJij,quantum_n7,7,8,exact,36,36,50.0,,False
QWaveSampler,quantum_n7,7,8,exact,36,36,13.0,13,True
SimulatedBifurcation,quantum_n7,7,8,exact,36,36,13,13,True
OpenJij,quantum_n7,7,8,lucas,4,4,13.0,13,True
QWaveSampler,quantum_n7,7,8,lucas,4,4,12.0,12,True
SimulatedBifurcation,quantum_n7,7,8,lucas,4,4,12,12,True
