dataset,vertices,edges,method,cost
ENZYMES8,88,133,random,2786
ENZYMES8,88,133,normal,1235
ENZYMES8,88,133,bfs,1069
ENZYMES8,88,133,dfs,1239
bn-mouse_visual-cortex_1,29,44,random,372
bn-mouse_visual-cortex_1,29,44,normal,227
bn-mouse_visual-cortex_1,29,44,bfs,208
bn-mouse_visual-cortex_1,29,44,dfs,241
ca-sandi_auths,86,124,random,2474
ca-sandi_auths,86,124,normal,1711
ca-sandi_auths,86,124,bfs,1359
ca-sandi_auths,86,124,dfs,1064
johnson8-4-4,70,1855,random,43472
johnson8-4-4,70,1855,normal,44821
johnson8-4-4,70,1855,bfs,44162
johnson8-4-4,70,1855,dfs,44512
random_n100_d50,100,2475,random,80435
random_n100_d50,100,2475,normal,77698
random_n100_d50,100,2475,bfs,78722
random_n100_d50,100,2475,dfs,79636
random_n10_d50,10,22,random,80
random_n10_d50,10,22,normal,63
random_n10_d50,10,22,bfs,49
random_n10_d50,10,22,dfs,69
random_n25_d50,25,150,random,1239
random_n25_d50,25,150,normal,1227
random_n25_d50,25,150,bfs,1122
random_n25_d50,25,150,dfs,1107
random_n50_d50,50,612,random,9718
random_n50_d50,50,612,normal,9782
random_n50_d50,50,612,bfs,9720
random_n50_d50,50,612,dfs,9522
random_n75_d50,75,1387,random,33460
random_n75_d50,75,1387,normal,32908
random_n75_d50,75,1387,bfs,33005
random_n75_d50,75,1387,dfs,33392
rt-retweet,96,117,random,2743
rt-retweet,96,117,normal,1640
rt-retweet,96,117,bfs,1264
rt-retweet,96,117,dfs,1415
soc-dolphins,62,159,random,2590
soc-dolphins,62,159,normal,1620
soc-dolphins,62,159,bfs,1557
soc-dolphins,62,159,dfs,1465
