graph_name,solver,vertices,edges,penalty_parameter,feasibility,energy,time_seconds
ENZYMES8,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
bn-mouse_visual-cortex_1,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ca-sandi_auths,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
johnson8-4-4,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
random_n100_d50,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
random_n10_d50,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
random_n25_d50,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
random_n50_d50,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
random_n75_d50,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
rt-retweet,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
soc-dolphins,easy_solver,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
